Argentina,Buenos Aires,,Alberto Rabino,MDM Surgery,Facial Feminization (FFS)
Argentina,Buenos Aires,,Javier Luis Rossi,CREAR Estetica,"Body Sculpting, Breast Augmentation, Facial Feminization (FFS), Hair Grafting, Tracheal Shave"
Argentina,Buenos Aires,,Joaquin Nazar Anchorena,MDM Surgery,Facial Feminization (FFS)
Argentina,Buenos Aires,,Juan Cruz Dobarro,MDM Surgery,"Body Sculpting, Facial Feminization (FFS)"
Argentina,Buenos Aires,,Laura Adduci,MDM Surgery,"Body Sculpting, Breast Augmentation, Facial Feminization (FFS), Hair Grafting, Tracheal Shave"
Argentina,Buenos Aires,,Marcelo Di Maggio,MDM Surgery,"Body Sculpting, Breast Augmentation, Facial Feminization (FFS), Tracheal Shave"
Argentina,Buenos Aires,,Mariel Ivan Castellano,CREAR Estetica,Facial Feminization (FFS)
Argentina,Buenos Aires,,Pablo Maldonado,Cirugía Plástica Dr. Pablo Maldonado,Vaginoplasty (GRS/SRS)
Argentina,Buenos Aires,,Roberto Martinez Rinaldi,MDM Surgery,"Body Sculpting, Breast Augmentation, Facial Feminization (FFS), Hair Grafting, Tracheal Shave"
Argentina,Buenos Aires,,Diego Schnellmann,MDM Surgery,"Body Sculpting, Breast Augmentation, Facial Feminization (FFS), Hair Grafting, Tracheal Shave"
Australia,Victoria,Melbourne,Andrew Ives,Andrew Ives Medical PTY Ltd,"Body Sculpting,  Breast Augmentation,  Top Surgery,  Vaginoplasty (GRS/SRS),  Orchidectomy"
Australia,South Australia (SA),Adelaide,David J. David,David David Medical Services,Facial Feminization (FFS)
Australia,Western Australia (WA),Perth,Edward Van Beem,Private Suite,Top Surgery
Australia,South Australia (SA),Adelaide,Eugene Tan,,Facial Feminization (FFS)
Australia,Queensland,Brisbane,Hans Goossen,Greenslopes Private Hospita,Phalloplasty (GRS/SRS)
Australia,Queensland,Ipswitch,Hugh Bartholomeusz,,Top Surgery
Australia,South Australia,Adelaide,James Katsaros,,Top Surgery
Australia,South Australia (SA),Adelaide,Jeanette Barritt,,Facial Feminization (FFS)
Australia,New South Wales (NSW),Sydney,Jeremy Hunt,,Facial Feminization (FFS)
Australia,Victoria,Melbourne,John G. Meara,"Royal Children's Hospital, Dept. of Plastic & Maxillofacial Surgery",Facial Feminization (FFS)
Australia,New South Wales (NSW),Sydney,Mahyar Amjadi,,"Breast Augmentation, Facial Feminization (FFS)"
Australia,South Australia (SA),Adelaide,Mark Harold Moore,,Facial Feminization (FFS)
Australia,New South Wales (NSW),Sydney,Mark P. Gianoutsos,"Prince of Wales Private Hospital, Suite 1, Level 7",Facial Feminization (FFS)
Australia,New South Wales (NSW),Sydney,Megan Hassall,,"Body Sculpting, Breast Augmentation, Labiaplasty (GRS/SRS), Top Surgery"
Australia,New South Wales (NSW),Sydney,Michael D. Poole,"Department Plastic & Reconstructive Surgery, St. George Hospital",Facial Feminization (FFS)
Australia,New South Wales (NSW),Sydney,Paul Gerarchi,,Facial Feminization (FFS)
Australia,New South Wales (NSW),Sydney,Peter Haertsch,,"Hysterectomy, Scrotoplasty (GRS/SRS), Top Surgery, Vaginoplasty (GRS/SRS)"
Australia,South Australia (SA),Adelaide,Peter John Anderson,"Australian Craniofacial Unit, Women's & Children's Hospital",Facial Feminization (FFS)
Australia,South Australia (SA),Adelaide,Peter Reilly,"Royal Adelaide Hospital, Department of Neurosurgery",Facial Feminization (FFS)
Australia,South Australia (SA),Adelaide,Robert M. Edwards,,Facial Feminization (FFS)
Australia,Queensland,Brisbane,Scott Ingram,Renaissant Aesthetic Health,"Body Sculpting, Breast Augmentation, Facial Feminization (FFS)"
Australia,Victoria,Melbourne,Sonia Grover,Mercy Health,Hysterectomy
Australia,Victoria,Melbourne,Stephen Kleid,,Tracheal Shave
Australia,New South Wales (NSW),Sydney,Steve Merten,,Top Surgery
Australia,Western Australia (WA),Perth,Timothy Hewitt,"St. John of God Hospital, Suite 317",Top Surgery
Austria,,Innsbruck,Hans Anderl,,Facial Feminization (FFS)
Austria,,Vienna,Klaus F. Schrögendorfer,,Breast Augmentation
Austria,,Vienna,Kurt Angel,,Orchiectomy
Belarus,Minsk,Minsk City,Aleh Stasevich,,"Breast Augmentation, Hysterectomy, Metoidioplasty, Penile Implant (GRS/SRS), Phalloplasty (GRS/SRS), Scrotoplasty (GRS/SRS), Top Surgery, Vaginoplasty (GRS/SRS)"
Belgium,,Antwerpen,Bart van de Ven,2Pass Clinic,"Body Sculpting, Breast Augmentation, Facial Feminization (FFS), Voice Feminization Surgery (VFS)"
Belgium,,Antwerpen,Franz Noorman Van der Dussen,,Facial Feminization (FFS)
Belgium,,Gent,J.L. Hoeyberghs,Wellness Kliniek,Facial Feminization (FFS)
Belgium,,Gent,Katrien Bonte,Universitair Ziekenhuis Gent,Voice Feminization Surgery (VFS)
Belgium,,Antwerpen,Maarten Doornaert,2Pass Clinic,"Body Sculpting, Breast Augmentation, Buttock Augmentation, Top Surgery"
Belgium,Brussels,Brussels,Marc Remacle,Louvain University Hospital,Voice Feminization Surgery (VFS)
Belgium,Brussels,Brussels,Pierre Vico,Clinique generale St. Jean,Facial Feminization (FFS)
Belgium,,Gent,Piet Hoebeke,Universitair Ziekenhuis Gent,"Penile Implant (GRS/SRS), Urethroplasty, Vaginoplasty (GRS/SRS)"
Belgium,,Gent,Salvatore D’Arpa,Universitair Ziekenhuis Gent,"Glansplasty, Phalloplasty (GRS/SRS), Scrotoplasty (GRS/SRS)"
Belgium,,Gent,Stan Monstrey,Universitair Ziekenhuis Gent,"Breast Augmentation, Facial Feminization (FFS), Phalloplasty (GRS/SRS), Scrotoplasty (GRS/SRS), Top Surgery, Vaginoplasty (GRS/SRS)"
Belgium ,,Brussels,De Cat Marijke,,Vaginoplasty (GRS/SRS)
Bolivia,,La Paz,Giovanna Land Todesco,,Top Surgery
Brazil,Sao Paulo,Mauá,Bruno Marques,Medici Cirurgia Plástica São Paulo,"Breast Augmentation, Top Surgery"
Brazil,Sao Paulo,,Carlos Cury,Faculdade de Medicina e Hospital de Base,"Metoidioplasty, Vaginoplasty (GRS/SRS)"
Brazil,Sao Paulo,,Cassio Menezes Raposo do Amaral,,Facial Feminization (FFS)
Brazil,Paraíba,Campina Grande,Daniel Rolim,,Top Surgery
Spain,Málaga,Marbella,Daniel Simon,FACIALTEAM,"Facial Feminization (FFS), Hair Grafting, Tracheal Shave"
Spain,Málaga,Marbella,Carlos Bailón,FACIALTEAM,Facial Feminization (FFS)
Spain,Málaga,Marbella,Raúl Jiménez Bellinga,FACIALTEAM,Facial Feminization (FFS)
Spain,Málaga,Marbella,Luis Capitán,FACIALTEAM,Facial Feminization (FFS)
Spain,Málaga,Marbella,Javier Gutiérrez Santamaría,FACIALTEAM,Facial Feminization (FFS)
Brazil,Brasília,Brasília,Erick Carpaneda,Clínica Carpaneda Cirurgia Plástica,Top Surgery
Brazil,Sao Paulo,,Jalma Jurado,Clínica Dr. Jalma JuradoPaulo,"Top Surgery,  Vaginoplasty (GRS/SRS)"
Brazil,Sao Paulo,Barueri,Jorge M. Psillakis,,Facial Feminization (FFS)
Brazil,Rio de Janeiro,Rio de Janeiro,Marcio Littleton,,"Body Sculpting, Breast Augmentation, Facial Feminization (FFS), Facial Masculinization, Metoidioplasty, Orchiectomy, Top Surgery, Voice Feminization Surgery (VFS)"
Brazil,Sao Paulo,Sao Paulo,Nivaldo Alonso,,Facial Feminization (FFS)
Brazil,Sao Paulo,Sao Paulo,Valdenize Tiziani,,Facial Feminization (FFS)
Brazil,Sao Paulo,Sao Paulo,Vera L.N. Cardim,,Facial Feminization (FFS)
Canada,Ontario,Toronto,Ali Adibfar,,"Breast Augmentation, Facial Feminization (FFS), Facial Masculinization, Top Surgery"
Canada,Ontario,Toronto,Arlene P. Dagys,,Facial Feminization (FFS)
Canada,British Columbia,Vancouver,Cameron Bowman,Fairview Plastic Surgery Centre,"Breast Augmentation, Facial Feminization (FFS), Glansplasty, Scrotoplasty (GRS/SRS), Top Surgery"
